id,Function_name,description_en,Category,syntax_en,example_en,Tutorial_1,Tutorial_2,Tutorial_3,Tutorial_4
488,VALUE,Converts a text argument to a number,Text,VALUE(text),"=VALUE(""1234"")",Convert text to numeric values.,Data formatting tasks.,Import data handling.,Numeric analysis.
489,VALUETOTEXT,Returns text from any specified value,Text,"VALUETOTEXT(value, [format])",=VALUETOTEXT(123.45),Convert values to text strings.,Data reporting.,Formatting tasks.,Data export preparation.
490,VAR,Estimates variance based on a sample,Compatibility,"VAR(number1,[number2],...)",=VAR(A1:A8),Sample variance calculation.,Statistical analyses.,Risk evaluations.,Data variability checks.
491,VAR.P,Calculates variance based on the entire population,Statistical,"VAR.P(number1,[number2],...)",=VAR.P(B1:B18),Population variance calculation.,Complete dataset analysis.,Financial evaluations.,Statistical modeling.
492,VAR.S,Estimates variance based on a sample,Statistical,"VAR.S(number1,[number2],...)",=VAR.S(C1:C13),Sample variance calculation (modern).,Research data analyses.,Statistical assessments.,Variance reporting tasks.
493,VARA,"Estimates variance based on a sample, including numbers, text, and logical values",Statistical,"VARA(value1,[value2],...)",=VARA(A1:A3),Variance calculation including logical/text as numbers.,Mixed-type data analyses.,Survey evaluations.,Statistical data management.
494,VARP,Calculates variance based on the entire population,Compatibility,"VARP(number1,[number2],...)",=VARP(B1:B8),Legacy population variance.,Historical analyses.,Financial modeling.,Statistical reporting.
495,VARPA,"Calculates variance based on the entire population, including numbers, text, and logical values",Statistical,"VARPA(value1,[value2],...)",=VARPA(A1:A3),Population variance including logical/text as numbers.,Mixed data analyses.,Statistical modeling tasks.,Survey data analysis.
496,VDB,Returns the depreciation of an asset for a specified or partial period by using a declining balance method,Financial,"VDB(cost,salvage,life,start_period,end_period,[factor],[no_switch])","=VDB(5000,200,5,0,3)",Variable declining balance depreciation.,Asset valuation tasks.,Financial reporting.,Depreciation modeling.
497,VLOOKUP,Searches for a value in the first column...,Lookup and reference,"VLOOKUP(lookup_value, table_array, col_index_num, [range_lookup])","=VLOOKUP(""Apple"", A498:B505, 2, FALSE)",Lookup prices from a product list.,Find student names from ID numbers.,Match employee ID with their departments.,Retrieve email addresses from a database.
498,VSTACK,AppendsÂ arrays vertically and in sequence to return a larger array,Look and reference,"VSTACK(array1,[array2],...)","=VSTACK(A1:A2,B1:B2)",Vertically stack multiple arrays.,Data merging tasks.,Reporting data organization.,Data compilation.
499,WEBSERVICE,Returns data from a web service.,Web,WEBSERVICE(url),"=WEBSERVICE(""http://example.com"")",Retrieve data from web URLs.,API data integration.,Real-time data updates.,Web data analyses.
500,WEEKDAY,Converts a serial number to a day of the week,Date and time,"WEEKDAY(serial_number,[return_type])","=WEEKDAY(""2025-03-28"")",Determine day of week.,Scheduling tasks.,Date analyses.,Data categorization.
501,WEEKNUM,Converts a serial number to a number representing where the week falls numerically with a year,Date and time,"WEEKNUM(serial_number,[return_type])","=WEEKNUM(""2025-01-01"")",Calculate week number.,Project timelines.,Reporting periods.,Date categorization tasks.
502,WEIBULL,"Calculates variance based on the entire population, including numbers, text, and logical values",Compatibility,"WEIBULL(x,alpha,beta,cumulative)","=WEIBULL(2,1,2,TRUE)",Legacy Weibull distribution.,Reliability engineering.,Failure rate modeling.,Statistical analysis.
503,WEIBULL.DIST,Returns the Weibull distribution,Statistical,"WEIBULL.DIST(x,alpha,beta,cumulative)","=WEIBULL.DIST(1.5,1,2,FALSE)",Weibull distribution calculation.,Reliability assessments.,Quality control analysis.,Engineering evaluations.
504,WORKDAY,Returns the serial number of the date before or after a specified number of workdays,Date and time,"WORKDAY(start_date,days,[holidays])","=WORKDAY(""2025-01-01"",10)",Calculate working days ahead.,Project scheduling.,Employee work planning.,Task deadlines.
505,WORKDAY.INTL,Returns the serial number of the date before or after a specified number of workdays using parameters to indicate which and how many days are weekend days,Date and time,"WORKDAY.INTL(start_date,days,[weekend],[holidays])","=WORKDAY.INTL(""2025-01-01"",10,11)",Calculate working days with custom weekends.,Global scheduling.,International payroll tasks.,Project planning.
506,WRAPCOLS,Wraps the provided row or column of values by columns after a specified number of elements,Look and reference,"WRAPCOLS(vector,wrap_count,[pad_with])","=WRAPCOLS(A1:A11,4)",Wrap column vector into multiple columns.,Data rearrangement.,Report formatting.,Data summarization.
507,WRAPROWS,Wraps the provided row or column of values by rows after a specified number of elements,Look and reference,"WRAPROWS(vector,wrap_count,[pad_with])","=WRAPROWS(A1:L1,3)",Wrap row vector into multiple rows.,Data restructuring tasks.,Data presentations.,Data summarization.
508,XIRR,Returns the internal rate of return for a schedule of cash flows that is not necessarily periodic,Financial,"XIRR(values,dates,[guess])","=XIRR(A1:A4,B1:B4)",Internal rate of return for irregular cash flows.,Investment analyses.,Financial planning.,Project evaluation.
509,XLOOKUP,"Searches a range or an array, and returnsÂ an itemÂ correspondingÂ to theÂ first match it finds. If a match doesn't exist,Â then XLOOKUP can return theÂ closest (approximate) match.",Lookup and reference,"XLOOKUP(lookup_value,lookup_array,return_array,[if_not_found],[match_mode],[search_mode])","=XLOOKUP(""Excel"",A1:A9,B1:B9,""Not Found"")",Enhanced data lookup.,Employee database queries.,Product searches.,Inventory control.
510,XMATCH,Returns theÂ relativeÂ position of an item in an array or range of cells.,Lookup and reference,"XMATCH(lookup_value,lookup_array,[match_mode],[search_mode])","=XMATCH(""Excel"",A1:A9)",Enhanced match function.,Data indexing.,Validation tasks.,Search operations.
511,XNPV,Returns the net present value for a schedule of cash flows that is not necessarily periodic,Financial,"XNPV(rate,values,dates)","=XNPV(0.05,A1:A4,B1:B4)",Net present value with irregular intervals.,Investment planning.,Project financial modeling.,Cash flow analyses.
512,XOR,Returns a logical exclusive OR of all arguments,Logical,"XOR(logical1,[logical2],...)","=XOR(TRUE,FALSE)",Exclusive OR logical test.,Condition evaluation.,Logical data analysis.,Formula control.
513,YEAR,Converts a serial number to a year,Date and time,YEAR(serial_number),"=YEAR(""2025-03-28"")",Extract year from date.,Data categorization.,Report summarization.,Time analyses.
514,YEARFRAC,Returns the year fraction representing the number of whole days between start_date and end_date,Date and time,"YEARFRAC(start_date,end_date,[basis])","=YEARFRAC(""2025-01-01"",""2025-12-31"")",Fractional year between dates.,Investment duration calculations.,Project scheduling.,Financial planning.
515,YIELD,Returns the yield on a security that pays periodic interest,Financial,"YIELD(settlement,maturity,rate,pr,redemption,frequency,[basis])","=YIELD(""2025-01-01"",""2030-01-01"",0.05,95,100,2)",Yield calculation on securities.,Investment evaluations.,Financial market analyses.,Bond performance assessments.
516,YIELDDISC,"Returns the annual yield for a discounted security; for example, a Treasury bill",Financial,"YIELDDISC(settlement,maturity,pr,redemption,[basis])","=YIELDDISC(""2025-01-01"",""2026-01-01"",97,100)",Yield for discounted securities.,Discount market analysis.,Investment scenarios.,Financial yield calculations.
517,YIELDMAT,Returns the annual yield of a security that pays interest at maturity,Financial,"YIELDMAT(settlement,maturity,issue,rate,pr,[basis])","=YIELDMAT(""2025-01-01"",""2026-01-01"",""2024-12-31"",0.05,98)",Yield calculation at maturity.,Investment analyses.,Financial evaluations.,Bond market tasks.
518,Z.TEST,Returns the one-tailed probability-value of a z-test,Statistical,"Z.TEST(array,x,[sigma])","=Z.TEST(A1:A9,75,5)",Z-test statistical evaluation.,Hypothesis testing.,Data analysis tasks.,Research validations.
519,FALSE,Returns the logical value FALSE,Logical,FALSE(),=FALSE(),Logical FALSE value for conditions.,Condition-based formula control.,Data validation logic.,Statistical hypothesis testing.
520,TRUE,Returns the logical value TRUE,Logical,TRUE(),=TRUE(),Return logical TRUE.,Condition evaluation.,Logical functions.,Automation checks.
